GEOID10,FID,BDNAME,BDNUM,TEXT_NBR,GEO_ID,NAME_x,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
270531040003017,18,Como,37,37,1000000US270531040003017,"Block 3017, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",66,62,0,0,3,0,1,0,66,63,60,0,0,3,0,0,0,3,2,0,0,0,0,1,0
270531040005036,18,Como,37,37,1000000US270531040005036,"Block 5036, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",89,76,2,1,4,0,3,3,89,89,76,2,1,4,0,3,3,0,0,0,0,0,0,0,0
270531040003002,18,Como,37,37,1000000US270531040003002,"Block 3002, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",85,67,8,0,6,0,4,0,85,81,67,8,0,6,0,0,0,4,0,0,0,0,0,4,0
270531040005040,18,Como,37,37,1000000US270531040005040,"Block 5040, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",23,20,1,0,0,0,0,2,23,23,20,1,0,0,0,0,2,0,0,0,0,0,0,0,0
270531040003007,18,Como,37,37,1000000US270531040003007,"Block 3007, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",93,69,6,3,9,0,2,4,93,91,68,6,3,9,0,1,4,2,1,0,0,0,0,1,0
270531040003003,18,Como,37,37,1000000US270531040003003,"Block 3003, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",7,7,0,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040003009,18,Como,37,37,1000000US270531040003009,"Block 3009, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040004005,18,Como,37,37,1000000US270531040004005,"Block 4005, Block Group 4, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002006,18,Como,37,37,1000000US270531040002006,"Block 2006, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002003,18,Como,37,37,1000000US270531040002003,"Block 2003, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040001025,18,Como,37,37,1000000US270531040001025,"Block 1025, Block Group 1, Census Tract 1040, Hennepin County, Minnesota",108,86,7,8,6,0,0,1,108,105,86,7,5,6,0,0,1,3,0,0,3,0,0,0,0
270531040003006,18,Como,37,37,1000000US270531040003006,"Block 3006, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",199,125,37,11,17,0,4,5,199,192,124,36,11,17,0,0,4,7,1,1,0,0,0,4,1
270531040004000,18,Como,37,37,1000000US270531040004000,"Block 4000, Block Group 4, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040002002,18,Como,37,37,1000000US270531040002002,"Block 2002, Block Group 2, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270531040005041,18,Como,37,37,1000000US270531040005041,"Block 5041, Block Group 5, Census Tract 1040, Hennepin County, Minnesota",72,58,5,2,5,0,0,2,72,71,57,5,2,5,0,0,2,1,1,0,0,0,0,0,0
270531040003012,18,Como,37,37,1000000US270531040003012,"Block 3012, Block Group 3, Census Tract 1040, Hennepin County, Minnesota",78,67,0,0,11,0,0,0,78,75,64,0,0,11,0,0,0,3,3,0,0,0,0,0,0
270531040004002,18,Como,37,37,1000000US270531040004002,"Block 4002, Block Group 4, Census Tract 1040, Hennepin County, Minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
