STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,009700,2006,360850097002006,Block 2006,G5040,,,S,      13661,          0,+40.6409097,-074.1124487,                  -74.1124487000,                   40.6409097000
36,085,010500,4004,360850105004004,Block 4004,G5040,,,S,      24740,          0,+40.6323545,-074.1154142,                  -74.1154142000,                   40.6323545000
36,085,009700,2000,360850097002000,Block 2000,G5040,,,S,      12073,          0,+40.6438781,-074.1112823,                  -74.1112823000,                   40.6438781000
36,085,005900,2004,360850059002004,Block 2004,G5040,,,S,      17248,          0,+40.6274070,-074.1018157,                  -74.1018157000,                   40.6274070000
36,085,018701,1004,360850187011004,Block 1004,G5040,,,S,      14073,          0,+40.6096899,-074.1284414,                  -74.1284414000,                   40.6096899000
36,085,018701,2003,360850187012003,Block 2003,G5040,,,S,      18352,          0,+40.6117012,-074.1271989,                  -74.1271989000,                   40.6117012000
36,085,013302,1001,360850133021001,Block 1001,G5040,,,S,      19865,          0,+40.6362847,-074.1260678,                  -74.1260678000,                   40.6362847000
36,085,015100,1003,360850151001003,Block 1003,G5040,,,S,      16577,          0,+40.6255259,-074.1294440,                  -74.1294440000,                   40.6255259000
36,085,013302,1007,360850133021007,Block 1007,G5040,,,S,      11960,          0,+40.6346092,-074.1256956,                  -74.1256956000,                   40.6346092000
36,085,009700,1009,360850097001009,Block 1009,G5040,,,S,       5573,          0,+40.6395437,-074.1174242,                  -74.1174242000,                   40.6395437000
36,085,009700,1003,360850097001003,Block 1003,G5040,,,S,       5409,          0,+40.6409052,-074.1159180,                  -74.1159180000,                   40.6409052000
36,085,012500,1003,360850125001003,Block 1003,G5040,,,S,      29141,          0,+40.6307877,-074.1220009,                  -74.1220009000,                   40.6307877000
36,085,012500,2000,360850125002000,Block 2000,G5040,,,S,      30211,          0,+40.6300924,-074.1180453,                  -74.1180453000,                   40.6300924000
36,085,012500,2002,360850125002002,Block 2002,G5040,,,S,      17955,          0,+40.6284208,-074.1175704,                  -74.1175704000,                   40.6284208000
36,085,012500,3005,360850125003005,Block 3005,G5040,,,S,      10361,          0,+40.6270101,-074.1190018,                  -74.1190018000,                   40.6270101000
36,085,010500,3003,360850105003003,Block 3003,G5040,,,S,      16936,          0,+40.6298846,-074.1124131,                  -74.1124131000,                   40.6298846000
36,085,000600,2010,360850006002010,Block 2010,G5040,,,S,        799,          0,+40.6096359,-074.0614792,                  -74.0614792000,                   40.6096359000
36,085,018701,1011,360850187011011,Block 1011,G5040,,,S,       3148,          0,+40.6086955,-074.1282060,                  -74.1282060000,                   40.6086955000
36,085,016901,1013,360850169011013,Block 1013,G5040,,,S,       5851,          0,+40.6117255,-074.1172800,                  -74.1172800000,                   40.6117255000
36,085,005900,1010,360850059001010,Block 1010,G5040,,,S,      37528,          0,+40.6176423,-074.1029702,                  -74.1029702000,                   40.6176423000
36,085,016901,2007,360850169012007,Block 2007,G5040,,,S,       6816,          0,+40.6114601,-074.1052117,                  -74.1052117000,                   40.6114601000
36,085,015100,1011,360850151001011,Block 1011,G5040,,,S,      12726,          0,+40.6225622,-074.1252799,                  -74.1252799000,                   40.6225622000
36,085,014100,1004,360850141001004,Block 1004,G5040,,,S,      10953,          0,+40.6292329,-074.1241726,                  -74.1241726000,                   40.6292329000
36,085,009700,3019,360850097003019,Block 3019,G5040,,,S,      13702,          0,+40.6388781,-074.1081010,                  -74.1081010000,                   40.6388781000
36,085,005900,1011,360850059001011,Block 1011,G5040,,,S,      16718,          0,+40.6184504,-074.1040111,                  -74.1040111000,                   40.6184504000
36,085,002900,2001,360850029002001,Block 2001,G5040,,,S,      26331,          0,+40.6231288,-074.0818446,                  -74.0818446000,                   40.6231288000
36,085,016901,2000,360850169012000,Block 2000,G5040,,,S,       8279,          0,+40.6158760,-074.1038099,                  -74.1038099000,                   40.6158760000
36,085,012100,2008,360850121002008,Block 2008,G5040,,,S,       8578,          0,+40.6265913,-074.1132379,                  -74.1132379000,                   40.6265913000
36,085,012100,3005,360850121003005,Block 3005,G5040,,,S,      14224,          0,+40.6292078,-074.1105135,                  -74.1105135000,                   40.6292078000
36,085,003300,2008,360850033002008,Block 2008,G5040,,,S,      42135,          0,+40.6173126,-074.0874737,                  -74.0874737000,                   40.6173126000
36,085,014700,3001,360850147003001,Block 3001,G5040,,,S,      30821,          0,+40.6165486,-074.1210986,                  -74.1210986000,                   40.6165486000
36,085,000800,3011,360850008003011,Block 3011,G5040,,,S,      21559,          0,+40.6069203,-074.0624766,                  -74.0624766000,                   40.6069203000
36,085,000900,2001,360850009002001,Block 2001,G5040,,,S,      28156,          0,+40.6421580,-074.0855174,                  -74.0855174000,                   40.6421580000
36,085,002100,1005,360850021001005,Block 1005,G5040,,,S,      14928,          0,+40.6333095,-074.0782828,                  -74.0782828000,                   40.6333095000
36,085,016901,1005,360850169011005,Block 1005,G5040,,,S,      18570,          0,+40.6128929,-074.1161656,                  -74.1161656000,                   40.6128929000
36,085,004700,1002,360850047001002,Block 1002,G5040,,,S,      38602,          0,+40.6148732,-074.0897588,                  -74.0897588000,                   40.6148732000
36,085,015100,1012,360850151001012,Block 1012,G5040,,,S,      31157,          0,+40.6223434,-074.1282966,                  -74.1282966000,                   40.6223434000
36,085,003300,2010,360850033002010,Block 2010,G5040,,,S,        633,          0,+40.6185600,-074.0908300,                  -74.0908300000,                   40.6185600000
36,085,004000,1014,360850040001014,Block 1014,G5040,,,S,       7097,          0,+40.6076676,-074.0843961,                  -74.0843961000,                   40.6076676000
36,085,009700,3017,360850097003017,Block 3017,G5040,,,S,      15114,          0,+40.6397284,-074.1087307,                  -74.1087307000,                   40.6397284000
36,085,009700,3012,360850097003012,Block 3012,G5040,,,S,      14783,          0,+40.6404858,-074.1062382,                  -74.1062382000,                   40.6404858000
36,085,008100,1009,360850081001009,Block 1009,G5040,,,S,      18063,          0,+40.6439435,-074.0990219,                  -74.0990219000,                   40.6439435000
36,085,006700,1008,360850067001008,Block 1008,G5040,,,S,      15973,          0,+40.6381630,-074.1041907,                  -74.1041907000,                   40.6381630000
36,085,005900,2001,360850059002001,Block 2001,G5040,,,S,      25695,          0,+40.6298126,-074.1007620,                  -74.1007620000,                   40.6298126000
36,085,005900,2000,360850059002000,Block 2000,G5040,,,S,      25516,          0,+40.6299484,-074.0997667,                  -74.0997667000,                   40.6299484000
36,085,008100,1005,360850081001005,Block 1005,G5040,,,S,      44172,          0,+40.6430458,-074.0937905,                  -74.0937905000,                   40.6430458000
36,085,008100,3007,360850081003007,Block 3007,G5040,,,S,      25795,          0,+40.6441762,-074.0910990,                  -74.0910990000,                   40.6441762000
36,085,008100,3003,360850081003003,Block 3003,G5040,,,S,      11753,          0,+40.6452078,-074.0900785,                  -74.0900785000,                   40.6452078000
36,085,007700,1003,360850077001003,Block 1003,G5040,,,S,       9762,          0,+40.6392414,-074.0905552,                  -74.0905552000,                   40.6392414000
36,085,007500,2004,360850075002004,Block 2004,G5040,,,S,      23191,          0,+40.6313867,-074.0915177,                  -74.0915177000,                   40.6313867000
36,085,007700,1010,360850077001010,Block 1010,G5040,,,S,      13967,          0,+40.6359221,-074.0903074,                  -74.0903074000,                   40.6359221000
36,085,007500,3005,360850075003005,Block 3005,G5040,,,S,       5421,          0,+40.6327146,-074.0924468,                  -74.0924468000,                   40.6327146000
36,085,002100,3009,360850021003009,Block 3009,G5040,,,S,      11418,          0,+40.6255477,-074.0829149,                  -74.0829149000,                   40.6255477000
36,085,000700,4002,360850007004002,Block 4002,G5040,,,S,       6037,          0,+40.6457606,-074.0782787,                  -74.0782787000,                   40.6457606000
36,085,000900,1004,360850009001004,Block 1004,G5040,,,S,      13944,          0,+40.6428806,-074.0819205,                  -74.0819205000,                   40.6428806000
36,085,002100,3004,360850021003004,Block 3004,G5040,,,S,       9461,          0,+40.6262347,-074.0817389,                  -74.0817389000,                   40.6262347000
36,085,000300,1002,360850003001002,Block 1002,G5040,,,S,      13689,          0,+40.6437214,-074.0758670,                  -74.0758670000,                   40.6437214000
36,085,003300,2013,360850033002013,Block 2013,G5040,,,S,       5902,          0,+40.6271864,-074.0835866,                  -74.0835866000,                   40.6271864000
36,085,001700,1005,360850017001005,Block 1005,G5040,,,S,      15391,          0,+40.6341343,-074.0791823,                  -74.0791823000,                   40.6341343000
36,085,002100,3001,360850021003001,Block 3001,G5040,,,S,      22382,          0,+40.6272482,-074.0799245,                  -74.0799245000,                   40.6272482000
36,085,002100,2004,360850021002004,Block 2004,G5040,,,S,      13497,          0,+40.6366872,-074.0752980,                  -74.0752980000,                   40.6366872000
36,085,002100,2021,360850021002021,Block 2021,G5040,,,S,      16916,          0,+40.6292397,-074.0777387,                  -74.0777387000,                   40.6292397000
36,085,005900,1014,360850059001014,Block 1014,G5040,,,S,       4905,          0,+40.6248212,-074.1041088,                  -74.1041088000,                   40.6248212000
36,085,005900,1013,360850059001013,Block 1013,G5040,,,S,       7366,          0,+40.6249056,-074.1031359,                  -74.1031359000,                   40.6249056000
36,085,005900,1012,360850059001012,Block 1012,G5040,,,S,       8254,          0,+40.6241945,-074.1030096,                  -74.1030096000,                   40.6241945000
36,085,016901,2013,360850169012013,Block 2013,G5040,,,S,       9244,          0,+40.6146454,-074.1029591,                  -74.1029591000,                   40.6146454000
36,085,016901,2012,360850169012012,Block 2012,G5040,,,S,      11828,          0,+40.6136287,-074.1026105,                  -74.1026105000,                   40.6136287000
36,085,004700,1012,360850047001012,Block 1012,G5040,,,S,      22859,          0,+40.6179249,-074.0997579,                  -74.0997579000,                   40.6179249000
36,085,004700,2004,360850047002004,Block 2004,G5040,,,S,      13984,          0,+40.6150691,-074.0990108,                  -74.0990108000,                   40.6150691000
36,085,004700,1022,360850047001022,Block 1022,G5040,,,S,       4696,          0,+40.6158773,-074.0984640,                  -74.0984640000,                   40.6158773000
36,085,016901,1028,360850169011028,Block 1028,G5040,,,S,      10488,          0,+40.6115007,-074.1065748,                  -74.1065748000,                   40.6115007000
36,085,004700,2007,360850047002007,Block 2007,G5040,,,S,      17634,          0,+40.6135796,-074.0989473,                  -74.0989473000,                   40.6135796000
36,085,000600,1000,360850006001000,Block 1000,G5040,,,S,     499008,        983,+40.6223558,-074.0685909,                  -74.0685909000,                   40.6223558000
36,085,014700,1000,360850147001000,Block 1000,G5040,,,S,     183534,          0,+40.6248423,-074.1205737,                  -74.1205737000,                   40.6248423000
36,085,014100,2001,360850141002001,Block 2001,G5040,,,S,      37426,          0,+40.6281124,-074.1292100,                  -74.1292100000,                   40.6281124000
36,085,013302,3009,360850133023009,Block 3009,G5040,,,S,      18918,          0,+40.6329184,-074.1290928,                  -74.1290928000,                   40.6329184000
36,085,013302,3007,360850133023007,Block 3007,G5040,,,S,      19524,          0,+40.6333288,-074.1248947,                  -74.1248947000,                   40.6333288000
36,085,014100,2005,360850141002005,Block 2005,G5040,,,S,      10325,          0,+40.6282821,-074.1277869,                  -74.1277869000,                   40.6282821000
36,085,014100,1005,360850141001005,Block 1005,G5040,,,S,      13691,          0,+40.6285288,-074.1259371,                  -74.1259371000,                   40.6285288000
36,085,012100,2000,360850121002000,Block 2000,G5040,,,S,      16271,          0,+40.6290916,-074.1121956,                  -74.1121956000,                   40.6290916000
36,085,009700,3000,360850097003000,Block 3000,G5040,,,S,      21454,          0,+40.6456075,-074.1022862,                  -74.1022862000,                   40.6456075000
36,085,009700,3008,360850097003008,Block 3008,G5040,,,S,      11583,          0,+40.6446209,-074.1080284,                  -74.1080284000,                   40.6446209000
36,085,010500,2002,360850105002002,Block 2002,G5040,,,S,      17083,          0,+40.6336117,-074.1091407,                  -74.1091407000,                   40.6336117000
36,085,010500,2005,360850105002005,Block 2005,G5040,,,S,       9239,          0,+40.6322059,-074.1078623,                  -74.1078623000,                   40.6322059000
36,085,006700,1009,360850067001009,Block 1009,G5040,,,S,      17579,          0,+40.6384595,-074.1060049,                  -74.1060049000,                   40.6384595000
36,085,005900,1007,360850059001007,Block 1007,G5040,,,S,       6260,          0,+40.6233275,-074.1039042,                  -74.1039042000,                   40.6233275000
36,085,012100,3017,360850121003017,Block 3017,G5040,,,S,      14358,          0,+40.6265943,-074.1089432,                  -74.1089432000,                   40.6265943000
36,085,012100,3018,360850121003018,Block 3018,G5040,,,S,      11496,          0,+40.6268788,-074.1101758,                  -74.1101758000,                   40.6268788000
36,085,006700,2008,360850067002008,Block 2008,G5040,,,S,      11841,          0,+40.6291551,-074.1048597,                  -74.1048597000,                   40.6291551000
36,085,012100,3015,360850121003015,Block 3015,G5040,,,S,      13554,          0,+40.6267833,-074.1072393,                  -74.1072393000,                   40.6267833000
36,085,015100,2003,360850151002003,Block 2003,G5040,,,S,      18539,          0,+40.6210687,-074.1259479,                  -74.1259479000,                   40.6210687000
36,085,014700,1005,360850147001005,Block 1005,G5040,,,S,      17608,          0,+40.6236031,-074.1232561,                  -74.1232561000,                   40.6236031000
36,085,016901,2001,360850169012001,Block 2001,G5040,,,S,       8583,          0,+40.6152553,-074.1033883,                  -74.1033883000,                   40.6152553000
36,085,016901,2024,360850169012024,Block 2024,G5040,,,S,       4303,          0,+40.6111457,-074.1020060,                  -74.1020060000,                   40.6111457000
36,085,016901,2020,360850169012020,Block 2020,G5040,,,S,      10736,          0,+40.6117461,-074.0993996,                  -74.0993996000,                   40.6117461000
36,085,002900,4005,360850029004005,Block 4005,G5040,,,S,      15775,          0,+40.6158767,-074.0859810,                  -74.0859810000,                   40.6158767000
36,085,002900,4008,360850029004008,Block 4008,G5040,,,S,      19171,          0,+40.6152560,-074.0863035,                  -74.0863035000,                   40.6152560000
36,085,002900,4003,360850029004003,Block 4003,G5040,,,S,       7084,          0,+40.6173474,-074.0859177,                  -74.0859177000,                   40.6173474000
36,085,004000,2002,360850040002002,Block 2002,G5040,,,S,      12576,          0,+40.6141933,-074.0852619,                  -74.0852619000,                   40.6141933000
36,085,002100,3013,360850021003013,Block 3013,G5040,,,S,      13980,          0,+40.6241708,-074.0831878,                  -74.0831878000,                   40.6241708000
36,085,002900,4001,360850029004001,Block 4001,G5040,,,S,       7647,          0,+40.6168696,-074.0842792,                  -74.0842792000,                   40.6168696000
36,085,002900,3003,360850029003003,Block 3003,G5040,,,S,      11059,          0,+40.6195362,-074.0789876,                  -74.0789876000,                   40.6195362000
36,085,004000,7003,360850040007003,Block 7003,G5040,,,S,      11246,          0,+40.6202221,-074.0760003,                  -74.0760003000,                   40.6202221000
36,085,004000,7002,360850040007002,Block 7002,G5040,,,S,      14449,          0,+40.6210413,-074.0744321,                  -74.0744321000,                   40.6210413000
36,085,000800,1005,360850008001005,Block 1005,G5040,,,S,      16123,          0,+40.6161749,-074.0727004,                  -74.0727004000,                   40.6161749000
36,085,003600,1001,360850036001001,Block 1001,G5040,,,S,      31918,          0,+40.6145338,-074.0743972,                  -74.0743972000,                   40.6145338000
36,085,012100,1007,360850121001007,Block 1007,G5040,,,S,      17225,          0,+40.6228468,-074.1099705,                  -74.1099705000,                   40.6228468000
36,085,012100,3001,360850121003001,Block 3001,G5040,,,S,      10777,          0,+40.6301253,-074.1066492,                  -74.1066492000,                   40.6301253000
