STATEFP10,COUNTYFP10,TRACTCE10,BLOCKCE10,GEOID10,NAME10,MTFCC10,UR10,UACE10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,LONGITUDE,LATITUDE
36,085,019800,4003,360850198004003,Block 4003,G5040,,,S,      12068,          0,+40.5297074,-074.1906971,                  -74.1906971000,                   40.5297074000
36,085,019800,2014,360850198002014,Block 2014,G5040,,,S,      18182,          0,+40.5181410,-074.2115764,                  -74.2115764000,                   40.5181410000
36,085,019800,4025,360850198004025,Block 4025,G5040,,,S,      11892,          0,+40.5234463,-074.1987882,                  -74.1987882000,                   40.5234463000
36,085,019800,3016,360850198003016,Block 3016,G5040,,,S,      14522,          0,+40.5138514,-074.1998519,                  -74.1998519000,                   40.5138514000
36,085,017009,3007,360850170093007,Block 3007,G5040,,,S,      17619,          0,+40.5462321,-074.1824253,                  -74.1824253000,                   40.5462321000
36,085,019800,4017,360850198004017,Block 4017,G5040,,,S,      27198,          0,+40.5140380,-074.1942662,                  -74.1942662000,                   40.5140380000
36,085,017005,1054,360850170051054,Block 1054,G5040,,,S,      10269,          0,+40.5357217,-074.1827723,                  -74.1827723000,                   40.5357217000
36,085,017005,1011,360850170051011,Block 1011,G5040,,,S,      43606,          0,+40.5417132,-074.1817975,                  -74.1817975000,                   40.5417132000
36,085,017011,2007,360850170112007,Block 2007,G5040,,,S,      23441,          0,+40.5454080,-074.1752751,                  -74.1752751000,                   40.5454080000
36,085,017005,2023,360850170052023,Block 2023,G5040,,,S,      10268,          0,+40.5379240,-074.1761255,                  -74.1761255000,                   40.5379240000
36,085,017005,2027,360850170052027,Block 2027,G5040,,,S,      12082,          0,+40.5361271,-074.1797795,                  -74.1797795000,                   40.5361271000
36,085,017005,2024,360850170052024,Block 2024,G5040,,,S,       9738,          0,+40.5381345,-074.1748226,                  -74.1748226000,                   40.5381345000
36,085,017600,1028,360850176001028,Block 1028,G5040,,,S,      13879,          0,+40.5252091,-074.1853413,                  -74.1853413000,                   40.5252091000
36,085,017008,1008,360850170081008,Block 1008,G5040,,,S,      15573,          0,+40.5611524,-074.1793533,                  -74.1793533000,                   40.5611524000
36,085,017008,2006,360850170082006,Block 2006,G5040,,,S,      11673,          0,+40.5559549,-074.1799715,                  -74.1799715000,                   40.5559549000
36,085,017008,3012,360850170083012,Block 3012,G5040,,,S,      18494,          0,+40.5499762,-074.1847371,                  -74.1847371000,                   40.5499762000
36,085,017009,3004,360850170093004,Block 3004,G5040,,,S,      19149,          0,+40.5473929,-074.1847327,                  -74.1847327000,                   40.5473929000
36,085,020803,1007,360850208031007,Block 1007,G5040,,,S,      17583,          0,+40.5364061,-074.2175860,                  -74.2175860000,                   40.5364061000
36,085,020803,3002,360850208033002,Block 3002,G5040,,,S,      15567,          0,+40.5310481,-074.2040417,                  -74.2040417000,                   40.5310481000
36,085,017005,1018,360850170051018,Block 1018,G5040,,,S,      15356,          0,+40.5427261,-074.1840490,                  -74.1840490000,                   40.5427261000
